ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000542,1,1,1,,,1
000543,1,1,1,,,
000544,1,1,1,4400,,19
000545,1,1,1,0,,19
000546,1,1,1,75000,,18
000547,1,1,1,120000,,21
000548,1,1,1,10000,,16
000549,1,1,1,8400,15,19
000550,1,1,1,52000,,21
000551,1,1,1,5500,15,19
000552,1,1,1,35000,,22
000553,2,2,2,20000,,19
000554,1,1,1,22000,,19
000555,1,1,1,0,,21
000556,6,38,4,145000,,21
000557,6,38,4,0,,22
000558,1,1,1,6000,,19
000559,6,43,5,85000,,21
000560,1,1,1,110000,,21
000561,9,68,19,,3,3
000562,9,68,17,2500,,19
000563,9,68,29,144000,,22
000564,9,68,64,,11,11
000565,3,27,3,35000,,16
000566,3,27,3,,2,2
000567,3,27,3,,1,2
000568,1,1,1,13100,,18
000569,9,68,29,,,
000570,8,67,15,11400,,16
000571,1,1,1,0,,16
000572,1,1,1,45000,15,19
000573,1,1,1,,5,6
000574,1,1,1,,3,4
000575,1,1,1,,,1
000576,1,1,1,,,
000577,1,1,1,0,,21
000578,1,1,1,1200,15,19
000579,1,1,1,4100,,20
000580,1,1,1,30000,,19
000581,9,68,16,,5,6
000582,9,68,16,,1,2
000583,2,2,2,900,,21
000584,1,1,1,0,,20
000585,1,1,1,0,,20
000586,1,1,1,95000,,20
000587,6,45,6,0,,16
000588,6,45,6,,11,11
000589,1,1,1,6500,15,18
000590,1,1,1,6000,,21
000591,1,1,1,4000,,21
000592,1,1,1,0,,21
000593,1,1,1,250000,,23
000594,1,1,1,50000,,22
000595,1,1,1,,1,2
000596,2,2,2,0,,16
000597,1,1,1,0,,16
000598,1,1,1,110000,,13
000599,1,1,1,0,,1
000600,1,1,1,0,,16
000601,1,1,1,37000,,16
000602,6,45,6,24000,,16
000603,7,60,11,0,,18
000604,1,1,1,0,,22
000605,1,1,1,14400,,16
000606,1,1,1,0,,17
000607,1,1,1,,,
000608,1,1,1,,,
000609,6,45,6,85000,,21
000610,9,68,17,49000,,18
000611,1,1,1,35000,,18
000612,1,1,1,50000,,20
000613,1,1,1,0,,18
000614,1,1,1,14000,,20
000615,1,1,1,4000,13,13
000616,9,68,17,0,,16
000617,1,1,1,100000,,18
000618,1,1,1,60000,,20
000619,1,1,1,70000,,22
000620,1,1,1,,11,11
000621,1,1,1,45000,,18
000622,1,1,1,40000,,21
000623,1,1,1,1800,13,13
000624,1,1,1,,11,11
000625,1,1,1,330,,21
000626,1,1,1,0,,21
000627,1,1,1,,12,12
000628,1,1,1,,10,10
000629,1,1,1,51000,,21
000630,1,1,1,59000,,18
000631,1,1,1,,10,10
000632,1,1,1,0,,19
000633,1,1,1,53000,,20
000634,1,1,1,24000,,13
000635,1,1,1,470,13,13
000636,1,1,1,,11,11
000637,1,1,1,,8,8
000638,9,68,17,,2,2
000639,1,1,1,10000,,16
000640,1,1,1,63000,,16
000641,1,1,1,0,,16
000642,1,1,1,75000,,21
000643,1,1,1,32000,,21
000644,1,1,1,60000,,21
000645,1,1,1,32000,,21
000646,1,1,1,0,,21
000647,1,1,1,0,,21
000648,1,1,1,24000,,20
000649,1,1,1,40000,,16
000650,3,9,3,0,,19
000651,1,1,1,17000,,20
000652,1,1,1,10700,,23
000653,1,1,1,70000,,22
000654,1,1,1,0,14,16
000655,1,1,1,12000,,21
000656,1,1,1,12000,,21
000657,1,1,1,0,,19
000658,1,1,1,0,,19
000659,1,1,1,0,,16
000660,1,1,1,0,,14
000661,1,1,1,15000,,16
000662,1,1,1,20000,,16
000663,1,1,1,33800,,16
000664,9,68,52,0,,16
000665,1,1,1,200000,,19
000666,2,2,2,20000,,16
000667,3,28,3,74000,,17
000668,1,1,1,0,,18
000669,9,68,17,6000,13,14
000670,9,68,17,,9,10
000671,9,68,17,,8,9
000672,3,28,3,,8,9
000673,3,28,3,,4,4
000674,3,28,3,,2,1
000675,3,28,3,,,
000676,1,1,1,0,,16
000677,1,1,1,800,,14
000678,9,68,16,,,1
000679,9,68,16,,,1
000680,9,68,16,,,
000681,1,1,1,4800,,14
000682,1,1,1,72000,,19
000683,1,1,1,,10,11
000684,1,1,1,15500,,21
000685,6,43,5,10200,,23
000686,1,1,1,75000,,16
000687,1,1,1,19200,,21
000688,1,1,1,0,,3
000689,1,1,1,30000,,21
000690,1,1,1,75000,,20
000691,1,1,1,43400,,21
000692,1,1,1,150000,16,22
000693,1,1,1,100000,,22
000694,1,1,1,,11,11
000695,1,1,1,,9,9
000696,1,1,1,0,,16
000697,1,1,1,125000,,19
000698,1,1,1,160000,,21
000699,1,1,1,10000,,22
000700,1,1,1,,11,12
000701,1,1,1,,9,10
000702,1,1,1,0,,17
000703,1,1,1,0,,22
000704,1,1,1,0,,21
000705,1,1,1,36000,,19
000706,1,1,1,0,,18
000707,1,1,1,93000,,21
000708,1,1,1,125000,,18
000709,1,1,1,35000,,21
000710,1,1,1,130000,,19
000711,1,1,1,,4,4
000712,1,1,1,170000,,16
000713,1,1,1,83000,,20
000714,1,1,1,2100,,21
000715,1,1,1,70000,,21
000716,1,1,1,0,13,13
000717,1,1,1,0,,19
000718,1,1,1,150000,,21
000719,1,1,1,5000,,24
000720,1,1,1,0,,16
000721,1,1,1,30000,,17
000722,1,1,1,5000,,21
000723,1,1,1,0,,21
000724,1,1,1,0,,21
000725,1,1,1,50000,,19
000726,1,1,1,37000,,12
000727,1,1,1,,12,12
000728,1,1,1,,9,9
000729,1,1,1,,5,5
000730,1,1,1,467000,,24
000731,6,57,9,100000,,24
000732,9,68,23,,7,8
000733,9,68,23,,5,6
000734,1,1,1,0,,21
000735,1,1,1,40000,,21
000736,1,1,1,32000,,19
000737,1,1,1,0,,13
000738,1,1,1,0,,16
000739,1,1,1,77000,,21
000740,1,1,1,116000,,24
000741,1,1,1,50000,,21
000742,1,1,1,70000,,24
000743,1,1,1,,11,12
000744,1,1,1,70000,,21
000745,1,1,1,60000,,16
000746,2,2,2,31000,,15
000747,9,68,16,,10,10
000748,1,1,1,32000,16,24
000749,1,1,1,53000,,19
000750,1,1,1,20700,16,22
000751,9,68,16,,10,11
000752,2,2,2,60000,,20
000753,9,68,30,100000,,21
000754,1,1,1,14400,,16
000755,1,1,1,8000,15,18
000756,1,1,1,50000,,21
000757,1,1,1,75000,,21
000758,1,1,1,,7,8
000759,1,1,1,107000,,16
000760,1,1,1,35000,,16
000761,1,1,1,16000,,21
000762,6,56,10,400,15,19
000763,6,45,6,28000,,21
000764,1,1,1,0,,19
000765,1,1,1,0,,19
000766,1,1,1,17800,,17
000767,3,21,3,,1,2
000768,1,1,1,,,
000769,1,1,1,,,
000770,1,1,1,0,,20
000771,9,68,17,0,,19
000772,1,1,1,98000,,21
000773,1,1,1,30000,,21
000774,1,1,1,10000,,21
000775,1,1,1,0,,24
000776,1,1,1,3000,,1
000777,1,1,1,0,,11
000778,1,1,1,1200,11,12
000779,1,1,1,,5,6
000780,1,1,1,,2,2
000781,1,1,1,,,1
000782,1,1,1,3000,,12
000783,1,1,1,88000,,22
000784,1,1,1,0,,21
000785,9,68,21,39000,,21
000786,1,1,1,0,,16
000787,1,1,1,125000,,20
000788,1,1,1,0,,20
000789,1,1,1,19000,,18
000790,1,1,1,20000,,20
000791,1,1,1,12000,,16
000792,9,68,17,0,,21
000793,1,1,1,37700,,19
000794,1,1,1,20000,,21
000795,1,1,1,4900,15,19
000796,1,1,1,0,14,14
000797,6,49,8,90000,,21
000798,6,49,8,0,,21
000799,6,49,8,,4,4
000800,6,49,8,,1,1
000801,1,1,1,75000,,20
000802,1,1,1,100000,,22
000803,1,1,1,38000,,21
000804,1,1,1,60000,,17
000805,6,48,7,40700,,21
000806,6,45,6,0,,21
000807,1,1,1,18800,,19
000808,1,1,1,87000,,16
000809,1,1,1,0,12,12
000810,1,1,1,140000,,21
000811,1,1,1,0,,21
000812,1,1,1,20600,,16
000813,9,68,22,135000,,21
000814,1,1,1,5000,,19
000815,9,68,22,,,
000816,1,1,1,48000,,21
000817,1,1,1,84000,,22
000818,1,1,1,0,,20
000819,1,1,1,0,,19
000820,1,1,1,82000,,16
000821,1,1,1,61000,,16
000822,1,1,1,8000,,16
000823,1,1,1,119000,,23
000824,1,1,1,78000,,18
000825,1,1,1,0,,16
000826,1,1,1,,7,8
000827,1,1,1,0,,16
000828,1,1,1,29000,,19
000829,1,1,1,17400,,19
000830,1,1,1,20100,,18
000831,9,68,88,12000,,20
000832,6,45,6,25000,,19
000833,1,1,1,40000,,19
000834,1,1,1,0,,9
000835,1,1,1,0,,15
000836,1,1,1,37100,,21
000837,1,1,1,52000,,19
000838,1,1,1,400,,11
000839,9,68,17,0,,19
000840,9,68,17,8000,,14
000841,1,1,1,13000,14,16
000842,1,1,1,64000,,16
000843,1,1,1,36200,,20
000844,1,1,1,2000,15,16
000845,1,1,1,0,,22
000846,1,1,1,0,,23
000847,9,68,17,33100,,21
000848,1,1,1,0,,16
000849,1,1,1,105000,,15
000850,1,1,1,59000,,18
000851,1,1,1,0,15,19
000852,1,1,1,0,,1
000853,1,1,1,0,,18
000854,1,1,1,4500,,21
000855,1,1,1,22500,,19
000856,1,1,1,21800,,17
000857,1,1,1,,10,10
000858,3,27,3,,9,9
000859,5,37,3,20000,,20
